Collection,MasterStation,Year,HaulDate,EQLatitude,EQLongitude
Aug 2014 n=14,YBC70,2014,8/13/2014,58.5223,-141.1454
Aug 2014 n=14,YBE10,2014,8/15/2014,59.5342,-140.6287
Aug 2014 n=14,YBH10,2014,8/20/2014,59.7542,-141.9309
Aug 2014 n=14,SER0,2014,8/24/2014,59.1152,-138.8114
Aug 2016 n=8,SEF20,2016,8/8/2016,57.0423,-136.4273
Aug 2016 n=8,SEG20,2016,8/7/2016,57.2127,-136.6166
Aug 2016 n=8,SEH20,2016,8/6/2016,57.3519,-136.7498
Aug 2016 n=8,SEI20,2016,8/5/2016,57.4952,-136.8734
Oct 2017 n=51,SJBB,2017,10/1/2017,57.2912,-135.5741
Aug 2017 n=52,LB1,2017,8/13/2017,59.75,-144.2
Aug 2017 n=52,LB2,2017,8/13/2017,59.75,-144.39
Aug 2017 n=52,LB3,2017,8/24/2017,59.59,-144.39
Aug 2017 n=52,LB4,2017,8/24/2017,59.59,-144.2
Jul 2017 n=33,YBE30,2017,7/4/2017,59.2544,-140.9668
Jul 2017 n=33,YBE10,2017,7/5/2017,59.5287,-140.6368
Jul 2017 n=33,YBC0,2017,7/5/2017,59.4989,-139.9164
Jul 2017 n=33,YBC10,2017,7/5/2017,59.348,-140.0621
Jul 2017 n=33,YBA70,2017,7/8/2017,58.3359,-140.6276
Jul 2017 n=33,SER30,2017,7/10/2017,58.703,-139.3553
Jul 2017 n=33,SER50,2017,7/11/2017,58.4269,-139.7422
