ID,AveIncLap,Temp,Tank,Ration,Growthmm,InititalLength
389701,2.96377559,6.5 - 16.8,1,Cmax,0.611111111,252
389715,2.861652264,6.5 - 16.8,1,Cmax,0.638888889,228
389746,2.741133702,6.5 - 16.8,3,C50,0.555555556,245
389749,2.807875894,6.5 - 16.8,4,C50,0.555555556,232
389759,2.8653125,6.5 - 16.8,4,C50,0.638888889,262
389768,2.399,6.5 - 16.8,5,C25,0.527777778,246
389772,2.773928571,6.5 - 16.8,5,C25,0.5,254
389780,2.198294118,6.5 - 16.8,6,C25,0.5,252
389783,2.868356383,6.5 - 16.8,6,C25,0.416666667,216
389807,5.170078452,6.5 - 16.8,1,Cmax,1.361111111,256
389811,4.504095749,6.5 - 16.8,1,Cmax,0.972222222,222
389836,4.190162566,6.5 - 16.8,3,C50,0.916666667,229
389838,4.149545455,6.5 - 16.8,3,C50,0.805555556,246
389855,4.058007635,6.5 - 16.8,4,C50,0.722222222,256
389856,4.116669067,6.5 - 16.8,4,C50,0.861111111,250
389867,3.554854348,6.5 - 16.8,5,C25,0.75,261
389873,3.110769231,6.5 - 16.8,5,C25,0.666666667,241
389883,3.097071429,6.5 - 16.8,6,C25,0.305555556,224
389884,3.16311439,6.5 - 16.8,6,C25,0.805555556,235
389924,4.085285714,6.5 - 16.8,3,C50,0.888888889,251
389946,4.140177465,6.5 - 16.8,4,C50,0.833333333,250
389961,2.936145469,6.5 - 16.8,5,C25,0.555555556,240
389964,3.034727273,6.5 - 16.8,5,C25,0.472222222,249
389985,2.6617,6.5 - 16.8,6,C25,0.527777778,248
390009,3.065363636,19.5,2,Cmax,0.583333333,246
390010,3.155132389,19.5,2,Cmax,0.722222222,250
390021,2.610121982,19.5,3,C50,0.527777778,255
390028,2.519926037,19.5,3,C50,0.194444444,215
390043,2.578383226,19.5,4,C50,0.25,235
390044,2.477369833,19.5,4,C50,0.25,245
390062,2.3355,19.5,5,C25,0.055555556,228
390067,2.089574032,19.5,5,C25,0.138888889,236
390068,2.593143366,19.5,6,C25,0.222222222,238
390081,2.314071429,19.5,6,C25,0.194444444,241
