ID,AveSagInc,Temp,Tank,Ration,Growthmm,InititalLength
389701,4.144573692,6.5,1,Cmax,0.611111111,252
389715,3.298664755,6.5,1,Cmax,0.638888889,228
389746,3.779120914,6.5,3,C50,0.555555556,245
389759,3.768260179,6.5,4,C50,0.638888889,262
389772,2.916089234,6.5,5,C25,0.5,254
389780,2.759430847,6.5,6,C25,0.5,252
389783,2.857793505,6.5,6,C25,0.416666667,216
389807,7.211615385,12.7,1,Cmax,1.361111111,256
389811,4.95375,12.7,1,Cmax,0.972222222,222
389836,5.62141764,12.7,3,C50,0.916666667,229
389838,4.802158044,12.7,3,C50,0.805555556,246
389855,4.617412945,12.7,4,C50,0.722222222,256
389856,3.390757589,12.7,4,C50,0.861111111,250
389867,5.025027946,12.7,5,C25,0.75,261
389873,3.452496408,12.7,5,C25,0.666666667,241
389883,3.186203299,12.7,6,C25,0.305555556,224
389884,4.291634175,12.7,6,C25,0.805555556,235
389924,3.403150658,16.8,3,C50,0.888888889,251
389946,3.938063921,16.8,4,C50,0.833333333,250
389961,3.411006288,16.8,5,C25,0.555555556,240
389964,2.780340927,16.8,5,C25,0.472222222,249
389985,3.049031179,16.8,6,C25,0.527777778,248
390009,3.742030054,19.5,2,Cmax,0.583333333,246
390010,4.826307506,19.5,2,Cmax,0.722222222,250
390021,3.061132389,19.5,3,C50,0.527777778,255
390028,2.859522206,19.5,3,C50,0.194444444,215
390043,2.875238786,19.5,4,C50,0.25,235
390044,2.406624425,19.5,4,C50,0.25,245
390062,3.356562404,19.5,5,C25,0.055555556,228
390067,2.898247516,19.5,5,C25,0.138888889,236
390068,2.997837158,19.5,6,C25,0.222222222,238
390081,3.005203917,19.5,6,C25,0.194444444,241
