Cruise,Group,ID,H,ForkLength
SJBB,October Age1,389300,2601.44937,343
SJBB,October Age1,389505,2568.586921,435
SJBB,October Age1,389318,2558.442141,329
SJBB,October Age1,389313,2552.898483,370
SJBB,October Age1,389308,2550.693723,365
SJBB,October Age1,389351,2505.189523,325
SJBB,October Age1,389426,2499.680885,364
SJBB,October Age1,389303,2462.036371,340
SJBB,October Age1,389315,2445.234513,358
SJBB,October Age1,389388,2442.639123,408
SJBB,October Age1,389304,2434.795668,357
SJBB,October Age1,389319,2428.330399,342
SJBB,October Age1,389307,2400.491099,330
SJBB,October Age1,389390,2400.253604,315
SJBB,October Age1,389332,2399.094924,322
SJBB,October Age1,389302,2372.151735,329
SJBB,October Age1,389311,2370.695372,337
SJBB,October Age1,389317,2352.311167,363
SJBB,October Age1,389550,2342.972224,340
SJBB,October Age1,389316,2330.696284,348
SJBB,October Age1,389430,2330.605271,350
SJBB,October Age1,389306,2317.451253,350
SJBB,October Age1,389396,2309.027416,396
SJBB,October Age1,389312,2274.879226,332
SJBB,October Age1,389381,2273.45764,305
SJBB,October Age1,389309,2273.024544,390
SJBB,October Age1,389310,2250.543735,357
SJBB,October Age1,389344,2244.64936,290
SJBB,October Age1,389305,2206.009711,325
SJBB,October Age1,389377,2165.095636,306
SJBB,October Age1,389445,2144.562913,290
SJBB,October Age1,389349,2091.09311,292
SJBB,October Age1,389395,2065.795413,272
SJBB,October Age1,389362,2056.914272,265
SJBB,October Age1,389376,2006.208358,275
SJBB,October Age0,389415,1968.477083,250
SJBB,October Age0,389346,1942.745216,275
SJBB,October Age0,389352,1940.981695,244
SJBB,October Age0,389345,1938.612237,266
SJBB,October Age0,389324,1936.806955,284
SJBB,October Age0,389382,1923.373335,255
SJBB,October Age0,389348,1878.78245,234
SJBB,October Age0,389301,1871.118005,260
SJBB,October Age0,389369,1869.308862,257
SJBB,October Age0,389367,1848.450279,260
SJBB,October Age0,389432,1846.977949,229
SJBB,October Age0,389450,1833.663653,236
SJBB,October Age0,389350,1799.547618,230
SJBB,October Age0,389361,1775.257498,239
SJBB,October Age0,389347,1738.063819,233
SJBB,October Age0,389357,1728.22032,220
NW1704,August Age0,LB20A,1397.012621,184
NW1704,August Age0,LB22E,1360.71095,169
NW1704,August Age0,LB22A,1311.968548,164
NW1704,August Age0,LB22C,1293.020827,163
NW1704,August Age0,LB22I,1287.762789,154
NW1704,August Age0,LB20C,1267.03,158
NW1704,August Age0,LB20I,1257.579224,158
NW1704,August Age0,LB22B,1228.536939,158
NW1704,August Age0,LB20B,1225.217922,173
NW1704,August Age0,LB20F,1219.74,153
NW1704,August Age0,LB20G,1215.588403,164
NW1704,August Age0,LB20H,1215.354722,163
NW1704,August Age0,LB20E,1199.832957,168
NW1704,August Age0,LB22D,1198.166653,146
NW1704,August Age0,LB20J,1125.816368,150
NW1704,August Age0,LB22G,1106.233481,150
NW1704,August Age0,LB20D,1074.053591,133
NW1704,August Age0,LB22F,1059.986217,142
NW1702,July Age0,1024,800.9246321,76
NW1702,July Age0,1021,784.488774,82
NW1702,July Age0,1017,760.7986708,70
NW1702,July Age0,1487,744.9649897,79
NW1702,July Age0,1019,741.6710182,68
NW1702,July Age0,1150,734.244181,67
NW1702,July Age0,1200,731.3703348,79
NW1702,July Age0,1199,719.1030824,82
NW1702,July Age0,513,716.4379923,67
NW1702,July Age0,1022,713.6457487,74
NW1702,July Age0,1152,712.0934897,72
NW1702,July Age0,1023,709.4299933,77
NW1702,July Age0,1026,707.8416741,66
NW1702,July Age0,1020,703.0244233,66
NW1702,July Age0,1209,691.0589139,67
NW1702,July Age0,1105,687.6331001,73
NW1702,July Age0,509,681.4640845,67
NW1702,July Age0,1151,680.239446,72
NW1702,July Age0,1016,672.7471675,66
NW1702,July Age0,1027,671.8575268,60
NW1702,July Age0,1018,668.4963603,66
NW1702,July Age0,1195,633.2625003,60
NW1702,July Age0,1190,630.366384,65
NW1702,July Age0,1028,624.366219,58
NW1702,July Age0,1204,614.5662499,63
NW1702,July Age0,1025,614.1637318,65
NW1702,July Age0,514,595.7896706,57
NW1702,July Age0,508,569.005579,57
NW1702,July Age0,512,557.462259,64
NW1702,July Age0,507,532.4504535,53
NW1702,July Age0,1194,530.8722288,53
NW1702,July Age0,511,500.2955761,55
NW1702,July Age0,506,450.13,60
